customer_id,gender,age,has_partner,has_dependents,tenure_months,contract_type,payment_method,internet_service,monthly_charges,total_charges,has_paperless_billing,has_online_security,has_tech_support,has_streaming_tv,num_support_tickets,avg_call_duration,churn
30501,Male,71,Yes,No,19,Month-to-month,Electronic check,Fiber optic,70.25,1127.14,Yes,Yes,No,No,2,15.7,1
30502,Female,75,Yes,Yes,31,Month-to-month,Mailed check,Fiber optic,29.66,746.75,Yes,No,No,No,1,10.2,1
30503,Female,20,Yes,No,14,One year,Electronic check,DSL,96.01,1466.12,Yes,No,Yes,No,1,29.7,0
30504,Male,57,No,No,53,Month-to-month,Electronic check,DSL,87.25,5316.06,Yes,Yes,Yes,Yes,3,13.5,0
30505,Female,63,No,Yes,48,One year,Mailed check,Fiber optic,96.84,4129.03,No,No,No,No,2,26.2,1
30506,Female,41,Yes,Yes,69,Two year,Bank transfer,Fiber optic,115.05,6853.89,No,No,No,No,2,27.0,0
30507,Female,67,No,No,62,One year,Electronic check,No,97.2,4971.07,Yes,No,No,No,2,25.2,0
30508,Female,49,Yes,No,66,Month-to-month,Electronic check,DSL,80.36,5988.38,No,Yes,Yes,Yes,2,2.4,0
30509,Male,64,Yes,No,64,Two year,Bank transfer,DSL,105.45,6239.62,No,No,No,No,0,28.5,0
30510,Male,39,Yes,No,70,One year,Mailed check,Fiber optic,86.67,5828.34,Yes,Yes,Yes,No,1,4.7,1
30511,Male,40,No,No,63,Month-to-month,Mailed check,Fiber optic,59.63,3760.82,Yes,No,No,Yes,1,2.0,0
30512,Female,19,No,Yes,33,Month-to-month,Credit card,Fiber optic,108.33,4060.29,No,No,No,Yes,0,13.0,0
30513,Male,80,No,No,41,One year,Mailed check,Fiber optic,40.63,1766.34,Yes,Yes,Yes,No,3,6.6,0
30514,Male,44,Yes,No,48,Two year,Bank transfer,Fiber optic,90.89,4563.52,Yes,No,Yes,No,4,6.3,0
30515,Male,59,No,No,13,Two year,Bank transfer,Fiber optic,107.92,1220.95,Yes,No,Yes,No,1,9.3,1
30516,Female,19,No,Yes,31,Month-to-month,Credit card,DSL,92.59,2885.43,Yes,No,No,Yes,5,8.2,1
30517,Male,43,Yes,No,68,Month-to-month,Bank transfer,Fiber optic,89.12,6582.26,No,No,No,No,0,20.9,0
30518,Female,34,No,No,4,Month-to-month,Electronic check,DSL,94.77,450.84,No,Yes,No,Yes,2,6.4,0
30519,Male,57,No,No,19,One year,Electronic check,DSL,65.44,1094.86,No,No,Yes,No,0,16.8,0
30520,Male,50,No,No,70,One year,Credit card,DSL,107.17,6030.16,No,Yes,No,Yes,7,29.6,0
30521,Female,26,Yes,No,13,Month-to-month,Electronic check,DSL,38.75,418.17,Yes,No,Yes,Yes,4,13.5,1
30522,Male,60,No,Yes,23,Month-to-month,Bank transfer,No,30.99,677.37,No,No,Yes,Yes,1,19.6,1
30523,Female,71,No,No,1,Two year,Credit card,DSL,47.12,53.16,No,No,Yes,No,0,29.1,0
30524,Female,65,No,Yes,54,Two year,Bank transfer,DSL,72.22,3131.05,No,Yes,No,Yes,1,5.0,0
30525,Male,56,Yes,Yes,71,Month-to-month,Mailed check,No,70.08,4889.56,Yes,No,Yes,No,2,13.1,0
30526,Female,46,No,No,15,One year,Electronic check,Fiber optic,101.7,1421.3,Yes,No,No,No,4,25.7,1
30527,Female,59,Yes,No,65,One year,Mailed check,Fiber optic,59.27,3162.92,No,Yes,Yes,Yes,1,28.0,0
30528,Female,72,Yes,No,71,Month-to-month,Electronic check,Fiber optic,67.4,4690.14,No,No,No,Yes,0,18.4,1
30529,Female,43,No,No,15,Month-to-month,Credit card,Fiber optic,19.36,261.91,Yes,Yes,No,Yes,2,5.2,1
30530,Male,52,No,No,21,Month-to-month,Bank transfer,DSL,59.79,1181.2,Yes,Yes,Yes,Yes,1,27.1,0
30531,Female,67,No,No,19,Month-to-month,Bank transfer,DSL,84.07,1728.7,No,Yes,Yes,No,2,6.1,1
30532,Female,42,No,Yes,60,One year,Mailed check,No,19.58,1184.93,Yes,Yes,No,No,0,11.2,0
30533,Male,41,Yes,No,33,Month-to-month,Electronic check,DSL,46.65,1308.32,Yes,No,Yes,Yes,0,11.9,0
30534,Male,30,Yes,Yes,49,Month-to-month,Electronic check,DSL,39.21,2275.89,No,No,Yes,No,0,14.0,0
30535,Male,77,No,No,35,Month-to-month,Electronic check,Fiber optic,22.28,822.19,No,No,No,Yes,1,23.9,1
30536,Female,75,No,No,44,Month-to-month,Mailed check,DSL,66.88,3255.67,Yes,Yes,Yes,No,2,24.3,0
30537,Female,24,No,Yes,11,One year,Mailed check,Fiber optic,36.54,334.29,No,Yes,No,No,4,21.9,1
30538,Female,74,No,Yes,72,Month-to-month,Mailed check,No,93.79,5529.42,No,No,Yes,Yes,3,1.6,1
30539,Female,53,No,No,66,Month-to-month,Mailed check,No,104.49,5570.72,Yes,Yes,Yes,No,4,17.4,0
30540,Male,62,No,No,46,Two year,Credit card,Fiber optic,73.65,2966.17,Yes,No,No,No,5,22.7,1
30541,Male,37,Yes,No,9,Month-to-month,Electronic check,DSL,118.13,1026.77,Yes,No,Yes,Yes,0,13.9,0
30542,Female,18,Yes,No,3,One year,Bank transfer,No,63.95,225.3,Yes,No,No,No,3,28.4,0
30543,Female,25,Yes,No,26,Month-to-month,Electronic check,Fiber optic,70.36,1797.94,Yes,No,No,No,2,24.9,1
30544,Female,63,No,No,72,Two year,Mailed check,DSL,118.9,7842.57,Yes,No,Yes,Yes,1,19.5,0
30545,Female,33,No,No,48,Two year,Electronic check,Fiber optic,41.62,2047.25,Yes,No,No,No,1,2.8,1
30546,Male,31,No,Yes,66,Month-to-month,Bank transfer,Fiber optic,114.14,6363.88,Yes,No,No,No,1,19.9,1
30547,Male,29,Yes,No,70,One year,Electronic check,DSL,22.37,1634.49,Yes,No,No,No,4,27.4,0
30548,Male,68,No,No,28,Month-to-month,Electronic check,Fiber optic,63.53,1827.53,Yes,No,Yes,No,5,12.0,1
30549,Male,40,No,No,26,Two year,Credit card,No,25.14,729.98,Yes,No,No,Yes,0,25.3,0
30550,Female,32,Yes,No,25,Month-to-month,Electronic check,DSL,92.38,2759.1,No,No,Yes,No,2,10.1,1
30551,Male,45,No,No,12,Two year,Mailed check,Fiber optic,80.06,864.98,Yes,No,Yes,No,2,17.5,1
30552,Female,51,Yes,Yes,5,Month-to-month,Mailed check,Fiber optic,90.08,452.14,Yes,No,No,No,5,19.8,1
30553,Male,19,Yes,No,48,One year,Mailed check,Fiber optic,56.2,3138.78,Yes,No,Yes,No,0,20.7,1
30554,Male,49,Yes,Yes,37,Two year,Bank transfer,DSL,55.69,2295.59,No,No,Yes,No,0,26.6,0
30555,Female,40,Yes,Yes,44,Two year,Bank transfer,Fiber optic,22.62,990.27,Yes,No,No,Yes,4,7.8,0
30556,Male,80,No,No,15,Month-to-month,Electronic check,Fiber optic,53.69,948.82,No,Yes,No,Yes,3,8.6,1
30557,Male,39,Yes,No,43,Month-to-month,Electronic check,No,112.79,3991.01,No,No,Yes,No,2,21.4,1
30558,Male,68,No,No,48,Month-to-month,Bank transfer,No,56.68,3189.68,Yes,Yes,Yes,No,4,6.1,0
30559,Male,42,Yes,Yes,70,Month-to-month,Mailed check,No,102.8,5902.18,Yes,No,No,No,1,14.5,0
30560,Female,75,Yes,No,46,Month-to-month,Credit card,DSL,103.92,4870.77,No,No,No,Yes,1,1.6,1
30561,Male,80,No,Yes,43,Month-to-month,Mailed check,DSL,56.07,2787.55,Yes,No,No,Yes,1,5.1,0
30562,Male,79,No,No,21,Month-to-month,Bank transfer,Fiber optic,82.46,1567.31,Yes,Yes,No,Yes,1,20.7,1
30563,Male,78,Yes,No,23,Month-to-month,Credit card,Fiber optic,27.73,630.71,Yes,Yes,Yes,No,1,22.7,1
30564,Female,39,No,No,47,Month-to-month,Bank transfer,No,28.58,1248.87,No,No,Yes,Yes,3,4.3,0
30565,Female,75,No,No,15,Month-to-month,Mailed check,Fiber optic,22.96,406.69,Yes,Yes,Yes,No,1,7.6,1
30566,Male,75,Yes,Yes,25,Month-to-month,Bank transfer,Fiber optic,77.26,2181.55,Yes,Yes,No,No,2,3.9,1
30567,Male,39,Yes,No,36,One year,Mailed check,DSL,61.46,2397.53,Yes,No,Yes,Yes,2,13.6,0
30568,Male,66,Yes,No,51,Month-to-month,Bank transfer,No,73.9,3901.0,Yes,No,No,Yes,1,4.7,1
30569,Female,69,No,No,15,Month-to-month,Electronic check,DSL,71.15,1204.11,No,No,No,Yes,6,13.7,1
30570,Male,59,Yes,No,68,Month-to-month,Bank transfer,DSL,53.72,3495.54,Yes,No,Yes,Yes,2,22.2,0
30571,Male,23,Yes,No,21,Month-to-month,Electronic check,No,87.1,1790.73,No,No,No,Yes,5,20.8,0
30572,Female,32,Yes,No,13,One year,Electronic check,Fiber optic,95.37,1353.87,Yes,No,Yes,No,3,9.1,1
30573,Female,71,Yes,No,19,Month-to-month,Bank transfer,DSL,19.49,349.24,No,No,No,No,0,20.5,1
30574,Female,60,No,No,34,Month-to-month,Electronic check,Fiber optic,39.14,1098.62,Yes,Yes,No,Yes,0,27.9,0
30575,Male,77,No,Yes,68,Two year,Bank transfer,DSL,90.75,5120.29,No,No,No,No,0,11.1,0
30576,Male,54,Yes,Yes,52,Two year,Credit card,Fiber optic,57.44,2527.33,No,No,No,No,5,10.5,0
30577,Male,50,Yes,Yes,27,Month-to-month,Credit card,DSL,85.57,2652.03,No,No,No,Yes,2,17.6,1
30578,Female,25,Yes,No,29,Month-to-month,Bank transfer,No,53.39,1531.11,Yes,Yes,No,No,1,8.1,0
30579,Male,70,No,Yes,28,Month-to-month,Mailed check,Fiber optic,57.86,1758.03,No,No,No,Yes,0,19.9,1
30580,Male,77,No,Yes,35,Month-to-month,Mailed check,Fiber optic,34.19,1145.39,Yes,No,Yes,Yes,1,25.1,1
30581,Female,61,Yes,No,8,Month-to-month,Mailed check,DSL,44.34,320.48,No,No,No,No,0,14.3,0
30582,Female,61,Yes,No,16,One year,Electronic check,DSL,79.75,1198.01,Yes,No,No,Yes,1,20.7,0
30583,Male,22,Yes,No,36,Month-to-month,Electronic check,Fiber optic,62.18,2501.89,No,No,No,Yes,5,19.9,1
30584,Female,56,No,No,30,Two year,Bank transfer,Fiber optic,96.98,3055.12,Yes,Yes,No,Yes,1,2.1,1
30585,Male,21,No,Yes,18,Month-to-month,Electronic check,DSL,104.96,2220.01,Yes,No,No,No,0,6.3,1
30586,Male,23,Yes,No,2,Month-to-month,Electronic check,Fiber optic,73.25,157.03,Yes,Yes,No,Yes,5,26.9,1
30587,Male,62,Yes,Yes,49,One year,Bank transfer,No,95.34,4802.81,Yes,No,Yes,No,1,28.2,0
30588,Female,49,Yes,No,4,Month-to-month,Electronic check,Fiber optic,49.3,205.89,Yes,No,No,No,4,23.6,1
30589,Male,69,No,Yes,7,Month-to-month,Electronic check,DSL,60.33,497.04,Yes,No,No,Yes,1,27.7,0
30590,Female,47,Yes,No,39,Month-to-month,Electronic check,Fiber optic,90.7,3945.08,Yes,Yes,Yes,Yes,1,9.9,0
30591,Female,64,Yes,Yes,13,Month-to-month,Bank transfer,Fiber optic,57.39,604.03,No,Yes,No,Yes,1,8.2,1
30592,Female,52,No,No,31,Month-to-month,Bank transfer,DSL,78.03,2451.96,Yes,No,No,Yes,1,12.1,0
30593,Female,72,Yes,Yes,71,Month-to-month,Bank transfer,DSL,36.91,2818.03,No,Yes,Yes,Yes,3,2.6,1
30594,Male,57,No,Yes,63,Month-to-month,Electronic check,Fiber optic,79.18,5484.58,No,Yes,Yes,Yes,3,24.5,1
30595,Female,69,Yes,No,56,Month-to-month,Bank transfer,No,105.87,5248.44,No,No,No,Yes,2,29.5,1
30596,Male,33,No,Yes,42,Two year,Bank transfer,Fiber optic,106.6,5134.77,Yes,No,Yes,Yes,2,24.9,0
30597,Male,30,Yes,No,61,Month-to-month,Mailed check,DSL,91.88,6626.62,Yes,No,No,No,1,17.1,0
30598,Male,67,No,No,42,Month-to-month,Mailed check,Fiber optic,94.07,3534.85,No,No,No,Yes,3,9.6,1
30599,Male,77,Yes,No,56,Two year,Bank transfer,DSL,74.91,4836.98,No,Yes,No,No,1,6.7,0
30600,Female,59,Yes,No,36,One year,Mailed check,DSL,77.64,2344.46,No,Yes,Yes,Yes,4,11.6,0
30601,Female,47,No,No,68,Month-to-month,Bank transfer,Fiber optic,31.63,1768.6,No,No,No,No,1,20.3,0
30602,Male,36,No,No,7,Month-to-month,Electronic check,No,63.27,377.2,No,No,No,No,3,14.0,1
30603,Male,34,Yes,No,54,One year,Mailed check,No,63.98,2843.73,Yes,Yes,Yes,Yes,2,28.1,1
30604,Male,73,No,Yes,1,Month-to-month,Mailed check,DSL,115.77,131.75,No,No,No,No,1,25.8,1
30605,Female,80,Yes,Yes,44,One year,Mailed check,Fiber optic,61.97,2245.75,No,No,No,No,2,4.0,1
30606,Female,36,No,Yes,45,Two year,Mailed check,DSL,74.03,3027.08,Yes,No,Yes,No,4,4.8,0
30607,Male,45,Yes,No,47,Month-to-month,Credit card,DSL,72.39,2863.07,Yes,Yes,No,No,2,20.6,1
30608,Male,75,Yes,No,13,Month-to-month,Credit card,No,82.95,990.11,No,No,No,Yes,2,7.7,1
30609,Male,72,Yes,No,22,One year,Bank transfer,No,94.32,1735.2,Yes,No,Yes,No,1,23.9,0
30610,Female,43,No,No,21,Month-to-month,Bank transfer,DSL,40.95,917.74,No,Yes,Yes,No,2,18.1,0
30611,Male,54,No,No,9,Month-to-month,Electronic check,DSL,71.93,552.42,Yes,Yes,No,Yes,2,7.7,1
30612,Female,43,Yes,No,26,Month-to-month,Bank transfer,DSL,102.24,3032.36,No,Yes,Yes,No,1,14.9,1
30613,Female,70,No,No,9,One year,Mailed check,Fiber optic,65.24,661.66,No,No,Yes,No,0,12.8,1
30614,Female,79,Yes,No,15,One year,Electronic check,No,46.4,560.6,No,No,Yes,Yes,0,26.3,0
30615,Male,40,Yes,No,10,Two year,Electronic check,DSL,84.78,982.0,Yes,Yes,No,No,1,1.9,0
30616,Female,80,No,Yes,42,Two year,Electronic check,Fiber optic,102.02,3477.48,Yes,No,Yes,Yes,3,27.0,0
30617,Female,26,Yes,No,72,Month-to-month,Electronic check,DSL,24.44,1576.42,Yes,No,No,No,1,19.9,0
30618,Male,29,No,No,24,One year,Electronic check,DSL,97.23,1897.05,Yes,Yes,No,Yes,2,22.4,0
30619,Male,70,No,Yes,49,Month-to-month,Electronic check,Fiber optic,101.81,4661.12,No,No,No,No,1,1.1,1
30620,Male,18,Yes,No,26,One year,Bank transfer,No,65.08,1701.47,Yes,Yes,No,No,2,19.2,0
30621,Female,75,No,Yes,37,Month-to-month,Electronic check,DSL,118.3,4896.48,No,Yes,No,No,4,18.1,1
30622,Female,75,Yes,No,68,Month-to-month,Mailed check,DSL,98.24,6247.39,Yes,No,No,No,1,16.6,1
30623,Male,18,Yes,Yes,50,One year,Credit card,DSL,96.91,5243.78,Yes,Yes,No,Yes,1,23.8,0
30624,Female,64,Yes,No,24,Month-to-month,Electronic check,Fiber optic,94.28,1979.88,No,No,No,Yes,1,17.1,1
30625,Male,51,Yes,No,19,Two year,Credit card,DSL,33.36,697.38,Yes,No,No,No,3,25.9,0
30626,Male,49,Yes,No,60,One year,Bank transfer,Fiber optic,40.16,2155.14,No,Yes,No,Yes,4,7.7,0
30627,Female,79,No,No,39,Month-to-month,Electronic check,Fiber optic,65.33,2184.59,Yes,Yes,No,No,6,24.4,1
30628,Female,71,No,No,18,Month-to-month,Electronic check,DSL,44.93,706.97,No,No,No,No,1,6.2,1
30629,Female,65,No,No,19,Two year,Electronic check,Fiber optic,60.35,1000.83,Yes,Yes,Yes,No,1,24.6,0
30630,Female,42,Yes,No,36,Month-to-month,Electronic check,DSL,108.62,3930.44,Yes,Yes,No,Yes,6,28.3,1
30631,Male,57,Yes,Yes,55,One year,Electronic check,Fiber optic,102.08,6388.73,Yes,No,Yes,No,2,10.7,0
30632,Male,62,No,No,69,One year,Electronic check,Fiber optic,82.26,4721.49,No,No,No,No,2,16.4,0
30633,Female,70,Yes,No,47,Two year,Electronic check,No,105.53,5370.5,Yes,Yes,No,No,3,20.1,0
30634,Female,18,No,No,49,One year,Bank transfer,DSL,97.94,5095.35,Yes,No,Yes,No,4,3.3,0
30635,Female,33,No,Yes,33,One year,Electronic check,Fiber optic,61.76,2341.77,No,No,Yes,Yes,0,15.3,0
30636,Male,78,No,Yes,21,Two year,Bank transfer,DSL,38.51,725.95,Yes,No,Yes,No,3,11.5,0
30637,Male,56,Yes,No,22,Two year,Electronic check,No,70.45,1518.97,No,No,Yes,Yes,3,26.3,0
30638,Female,80,Yes,No,48,One year,Bank transfer,Fiber optic,93.1,5229.97,Yes,Yes,No,No,3,26.4,1
30639,Male,22,No,Yes,37,Month-to-month,Electronic check,DSL,62.51,2460.89,Yes,Yes,No,No,1,21.3,0
30640,Male,39,No,No,15,Month-to-month,Bank transfer,DSL,86.01,1232.75,Yes,Yes,No,Yes,0,20.0,1
30641,Male,46,Yes,Yes,35,One year,Electronic check,No,27.62,824.17,Yes,Yes,No,No,0,22.3,0
30642,Male,72,No,No,71,Month-to-month,Bank transfer,No,94.3,6059.21,Yes,No,No,No,1,11.6,1
30643,Female,20,Yes,No,32,Month-to-month,Electronic check,No,100.9,3333.69,Yes,No,No,No,1,12.7,1
30644,Female,29,No,No,11,Month-to-month,Mailed check,No,90.1,1077.59,No,No,No,Yes,1,17.1,0
30645,Female,43,No,Yes,10,One year,Electronic check,No,116.66,991.34,Yes,No,No,No,1,28.2,1
30646,Female,33,Yes,Yes,57,Month-to-month,Mailed check,Fiber optic,102.32,6064.59,Yes,No,No,No,5,22.0,0
30647,Male,68,Yes,No,25,Month-to-month,Electronic check,DSL,110.12,2808.45,Yes,No,No,No,3,17.0,1
30648,Female,54,Yes,No,2,Month-to-month,Mailed check,DSL,113.22,227.7,Yes,No,Yes,No,2,23.3,1
30649,Female,39,Yes,No,64,One year,Electronic check,Fiber optic,99.74,6868.81,Yes,Yes,No,No,1,11.8,0
30650,Female,74,Yes,No,35,Month-to-month,Electronic check,Fiber optic,86.77,3446.88,No,Yes,No,No,1,22.2,1
30651,Female,46,Yes,No,7,Month-to-month,Bank transfer,Fiber optic,18.58,120.85,No,Yes,No,Yes,1,12.9,0
30652,Female,31,Yes,Yes,18,Month-to-month,Credit card,DSL,65.51,1362.67,Yes,Yes,No,No,3,9.1,0
30653,Male,45,No,Yes,67,Month-to-month,Mailed check,Fiber optic,76.26,4415.83,Yes,Yes,No,No,6,18.7,0
30654,Female,22,No,No,42,One year,Bank transfer,DSL,49.01,1789.2,Yes,No,No,No,2,20.9,0
30655,Male,64,Yes,No,39,One year,Mailed check,Fiber optic,50.45,1783.99,Yes,No,Yes,Yes,4,14.3,1
30656,Male,66,Yes,No,41,Month-to-month,Mailed check,Fiber optic,116.04,4033.59,Yes,No,No,Yes,0,17.4,1
30657,Male,47,Yes,No,24,Month-to-month,Electronic check,DSL,108.95,2332.74,Yes,No,Yes,Yes,3,21.1,0
30658,Male,63,No,Yes,60,Two year,Electronic check,No,104.62,5288.95,No,No,Yes,No,6,23.3,0
30659,Male,79,No,No,46,Month-to-month,Credit card,Fiber optic,59.41,3084.58,Yes,Yes,No,Yes,2,27.0,1
30660,Male,69,No,No,19,Month-to-month,Mailed check,No,19.4,315.37,No,No,Yes,Yes,3,11.3,1
30661,Female,22,Yes,No,68,Month-to-month,Bank transfer,DSL,26.18,1956.34,Yes,Yes,Yes,No,2,28.6,1
30662,Male,29,No,No,42,Month-to-month,Mailed check,DSL,49.84,1714.74,No,No,No,Yes,1,19.5,0
30663,Female,33,No,No,32,Month-to-month,Mailed check,DSL,19.61,740.1,Yes,Yes,No,No,1,23.8,1
30664,Male,43,No,Yes,39,One year,Mailed check,DSL,19.75,835.31,No,No,Yes,No,2,21.3,0
30665,Male,43,No,No,36,Month-to-month,Bank transfer,DSL,111.49,3221.82,No,No,No,No,5,7.0,0
30666,Male,65,Yes,Yes,36,Month-to-month,Electronic check,DSL,90.03,3583.15,No,No,No,Yes,2,3.1,1
30667,Female,38,No,No,3,Month-to-month,Mailed check,No,49.51,149.37,Yes,Yes,Yes,Yes,1,22.1,0
30668,Male,56,No,Yes,8,Month-to-month,Mailed check,No,31.53,280.43,Yes,No,No,Yes,2,15.8,1
30669,Male,53,Yes,Yes,70,Month-to-month,Credit card,No,70.19,4957.51,Yes,No,No,No,1,21.4,0
30670,Female,50,Yes,Yes,41,Month-to-month,Mailed check,No,18.55,803.45,Yes,Yes,No,Yes,2,14.8,0
30671,Male,79,Yes,Yes,68,Month-to-month,Bank transfer,Fiber optic,113.72,8618.64,Yes,No,No,Yes,1,10.1,1
30672,Male,47,Yes,No,13,One year,Electronic check,Fiber optic,60.31,754.27,Yes,No,No,No,0,9.3,1
30673,Male,54,Yes,No,49,One year,Electronic check,DSL,59.04,2317.5,Yes,No,No,Yes,2,22.2,0
30674,Female,40,No,No,60,Month-to-month,Credit card,DSL,57.84,3956.18,Yes,Yes,Yes,No,2,9.0,0
30675,Male,75,No,No,2,Month-to-month,Bank transfer,Fiber optic,25.07,47.75,Yes,No,No,No,2,21.7,1
30676,Male,27,No,Yes,60,One year,Electronic check,No,83.11,4978.71,Yes,Yes,No,Yes,0,12.1,0
30677,Female,71,No,No,5,Month-to-month,Mailed check,Fiber optic,92.77,372.52,Yes,Yes,No,No,2,23.4,0
30678,Female,22,No,Yes,44,Month-to-month,Electronic check,No,86.96,3814.14,Yes,Yes,No,No,2,5.1,1
30679,Male,53,No,Yes,27,One year,Bank transfer,DSL,32.12,1036.0,No,Yes,No,Yes,2,6.9,0
30680,Male,51,No,Yes,32,Two year,Electronic check,Fiber optic,77.04,2246.63,Yes,No,Yes,Yes,0,20.9,0
30681,Male,69,Yes,No,21,Month-to-month,Bank transfer,Fiber optic,76.09,1531.05,No,Yes,No,No,1,17.2,1
30682,Male,48,Yes,Yes,8,Month-to-month,Mailed check,No,106.58,916.48,Yes,No,No,Yes,3,6.9,1
30683,Female,27,Yes,No,72,Two year,Electronic check,No,56.67,4594.01,No,No,No,No,1,27.2,1
30684,Female,75,Yes,No,50,Month-to-month,Credit card,Fiber optic,55.89,2702.16,Yes,No,No,No,0,9.0,0
30685,Female,36,Yes,No,67,Two year,Credit card,DSL,81.09,5019.4,No,Yes,No,Yes,2,13.2,0
30686,Male,75,No,No,44,Month-to-month,Electronic check,DSL,82.57,4269.34,Yes,No,No,No,2,6.9,1
30687,Female,49,No,No,58,Month-to-month,Credit card,Fiber optic,65.87,4091.17,No,No,Yes,Yes,1,12.3,0
30688,Female,18,Yes,No,3,Month-to-month,Bank transfer,No,63.19,160.68,Yes,Yes,No,Yes,2,15.3,0
30689,Male,73,No,Yes,70,Two year,Bank transfer,DSL,68.4,3962.41,No,No,Yes,No,1,9.6,0
30690,Male,22,Yes,No,2,Two year,Credit card,DSL,105.83,210.27,Yes,Yes,Yes,Yes,2,23.3,0
30691,Male,62,No,Yes,44,Month-to-month,Mailed check,DSL,65.04,2541.35,No,Yes,No,No,0,12.4,0
30692,Male,21,No,No,2,One year,Bank transfer,No,113.87,205.33,No,No,No,No,2,22.2,0
30693,Male,33,No,No,35,One year,Credit card,Fiber optic,69.41,2796.37,No,Yes,No,Yes,2,7.0,1
30694,Male,41,Yes,No,30,One year,Mailed check,Fiber optic,114.82,2879.09,No,No,No,Yes,2,11.9,1
30695,Female,33,No,No,8,Two year,Mailed check,Fiber optic,102.95,894.55,Yes,Yes,No,Yes,2,1.2,0
30696,Male,72,Yes,Yes,22,Month-to-month,Electronic check,DSL,54.97,1098.63,Yes,No,Yes,No,2,23.0,1
30697,Male,19,No,No,44,Month-to-month,Bank transfer,DSL,106.09,5154.04,No,Yes,No,Yes,2,19.2,1
30698,Female,66,Yes,No,58,Two year,Bank transfer,No,29.23,1846.17,Yes,Yes,No,Yes,1,24.7,0
30699,Female,45,No,No,36,Two year,Mailed check,No,112.35,3247.64,No,No,No,No,3,14.2,0
30700,Female,49,Yes,Yes,69,Month-to-month,Mailed check,Fiber optic,82.43,5708.45,Yes,No,No,Yes,3,24.2,0
30701,Female,44,No,No,31,Month-to-month,Electronic check,Fiber optic,23.55,624.72,Yes,No,No,Yes,1,19.8,1
30702,Female,37,Yes,No,47,Two year,Electronic check,No,83.71,4510.72,Yes,No,No,No,0,1.1,0
30703,Male,41,No,No,55,Month-to-month,Mailed check,Fiber optic,117.37,7414.84,Yes,Yes,No,Yes,0,8.4,0
30704,Male,29,No,No,62,One year,Mailed check,DSL,25.12,1506.57,No,No,No,Yes,1,15.3,0
30705,Female,67,Yes,No,30,Month-to-month,Bank transfer,Fiber optic,74.58,2187.64,Yes,No,Yes,Yes,2,18.9,1
30706,Female,52,Yes,No,55,Two year,Mailed check,Fiber optic,94.28,4777.38,Yes,No,Yes,No,2,2.9,0
30707,Female,77,No,No,16,Month-to-month,Credit card,Fiber optic,100.65,1749.93,No,Yes,No,Yes,4,21.4,1
30708,Female,50,Yes,No,12,Month-to-month,Electronic check,No,60.21,681.67,Yes,No,No,Yes,0,16.8,1
30709,Male,50,Yes,No,17,Month-to-month,Credit card,No,38.82,598.64,No,No,No,Yes,1,16.2,0
30710,Female,78,Yes,No,16,Two year,Electronic check,DSL,22.32,347.44,Yes,No,No,No,5,9.5,0
30711,Female,68,No,Yes,12,One year,Bank transfer,Fiber optic,77.13,774.32,No,Yes,No,Yes,4,18.2,1
30712,Male,60,Yes,No,8,One year,Mailed check,DSL,64.2,564.26,Yes,No,No,Yes,0,1.8,0
30713,Male,54,Yes,No,3,Month-to-month,Mailed check,Fiber optic,114.77,277.18,Yes,No,No,No,2,2.9,0
30714,Male,29,No,No,16,Two year,Electronic check,Fiber optic,24.18,409.24,Yes,Yes,Yes,Yes,2,22.3,0
30715,Female,20,Yes,Yes,30,One year,Electronic check,Fiber optic,87.91,2302.75,Yes,No,No,No,5,10.3,1
30716,Female,18,Yes,No,23,One year,Bank transfer,No,20.55,422.06,No,No,No,No,0,11.1,0
30717,Male,50,No,No,5,Two year,Mailed check,Fiber optic,35.49,187.08,Yes,Yes,No,Yes,0,7.0,1
30718,Female,57,No,No,65,Month-to-month,Credit card,No,64.27,5001.27,No,Yes,Yes,No,2,13.9,1
30719,Female,27,Yes,Yes,30,One year,Electronic check,DSL,64.4,2146.62,Yes,Yes,Yes,Yes,1,2.5,0
30720,Male,60,Yes,Yes,21,Two year,Credit card,DSL,87.94,1644.22,Yes,Yes,No,Yes,3,9.7,0
30721,Male,61,No,No,70,One year,Electronic check,Fiber optic,110.84,6753.34,Yes,Yes,No,No,0,16.3,0
30722,Male,46,Yes,No,22,One year,Electronic check,No,83.18,2098.04,Yes,Yes,No,Yes,3,14.5,0
30723,Female,30,No,No,72,Month-to-month,Electronic check,Fiber optic,115.26,8113.44,Yes,Yes,No,Yes,1,30.0,0
30724,Male,29,No,No,32,One year,Credit card,DSL,107.92,2952.07,Yes,No,No,Yes,3,12.3,0
30725,Female,48,No,No,33,Month-to-month,Mailed check,Fiber optic,77.62,2932.58,No,No,Yes,No,0,12.2,1
30726,Female,63,No,No,16,Month-to-month,Electronic check,Fiber optic,103.05,1857.27,Yes,No,No,No,1,15.6,1
30727,Female,19,No,Yes,38,Two year,Electronic check,No,83.54,3788.99,Yes,No,No,Yes,1,6.5,1
30728,Male,78,No,Yes,14,Month-to-month,Electronic check,Fiber optic,26.01,423.82,Yes,Yes,Yes,Yes,1,26.4,0
30729,Male,68,No,No,36,Month-to-month,Bank transfer,No,93.54,3841.29,No,No,Yes,No,1,17.6,1
30730,Male,67,No,No,23,One year,Electronic check,Fiber optic,27.68,522.7,Yes,Yes,Yes,No,3,6.6,0
